"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","21-Jan-2015","        371.10","        372.95","        372.95","        349.20","        352.00","        352.70","        358.02","   21632143","      77447.96","     207973","   11190291","         51.73"
"ITC","EQ","22-Jan-2015","        352.70","        353.00","        359.80","        348.85","        352.00","        350.65","        353.11","   19751717","      69744.36","     203543","   14407901","         72.95"
"ITC","EQ","23-Jan-2015","        350.65","        353.45","        355.95","        348.80","        349.45","        349.45","        351.19","   11164999","      39209.89","     115819","    7107635","         63.66"
"ITC","EQ","27-Jan-2015","        349.45","        350.00","        361.00","        349.35","        360.65","        360.15","        355.73","   16837241","      59894.64","     120696","   13454386","         79.91"
"ITC","EQ","28-Jan-2015","        360.15","        360.00","        363.45","        357.55","        363.00","        362.30","        360.68","    8211866","      29618.60","     104052","    5514689","         67.16"
"ITC","EQ","29-Jan-2015","        362.30","        363.00","        372.00","        360.00","        370.00","        370.20","        367.48","   14062512","      51676.78","      88140","   10822731","         76.96"
"ITC","EQ","30-Jan-2015","        370.20","        370.00","        372.00","        363.65","        368.75","        368.55","        366.48","    9278105","      34001.95","      71704","    6949825","         74.91"
"ITC","EQ","02-Feb-2015","        368.55","        367.00","        369.20","        359.40","        360.50","        360.65","        362.49","    5662574","      20526.33","      89367","    3849262","         67.98"
"ITC","EQ","03-Feb-2015","        360.65","        361.45","        367.00","        361.45","        365.65","        366.05","        364.57","    4199272","      15309.31","      46546","    2520229","         60.02"
"ITC","EQ","04-Feb-2015","        366.05","        367.50","        370.50","        365.35","        366.80","        367.60","        368.27","    3871473","      14257.50","      51403","    2532453","         65.41"
"ITC","EQ","05-Feb-2015","        367.60","        365.90","        372.10","        363.70","        368.30","        368.90","        368.43","    6318791","      23280.06","      69773","    4139969","         65.52"
"ITC","EQ","06-Feb-2015","        368.90","        366.10","        374.40","        366.10","        373.75","        373.50","        372.28","    4883250","      18179.42","      51793","    2827071","         57.89"
"ITC","EQ","09-Feb-2015","        373.50","        371.15","        373.85","        366.70","        369.75","        367.90","        368.92","    4792005","      17678.52","      55254","    2992818","         62.45"
"ITC","EQ","10-Feb-2015","        367.90","        368.10","        372.00","        366.90","        370.90","        369.90","        369.04","    5341166","      19711.16","      46515","    3481802","         65.19"
"ITC","EQ","11-Feb-2015","        369.90","        371.05","        372.90","        367.85","        372.40","        371.15","        370.54","    3030315","      11228.41","      46265","    1910495","         63.05"
"ITC","EQ","12-Feb-2015","        371.15","        372.00","        372.00","        364.65","        370.30","        370.40","        368.02","    3529483","      12989.13","      57413","    2085009","         59.07"
"ITC","EQ","13-Feb-2015","        370.40","        371.20","        379.25","        370.05","        378.00","        378.05","        374.82","    6017353","      22554.47","      55674","    3819941","         63.48"
"ITC","EQ","16-Feb-2015","        378.05","        378.40","        391.00","        378.00","        389.80","        389.60","        386.04","    7737649","      29870.28","      65669","    5273768","         68.16"
"ITC","EQ","18-Feb-2015","        389.60","        385.00","        402.00","        385.00","        392.80","        393.25","        396.34","    9112881","      36118.23","      85648","    5688497","         62.42"
"ITC","EQ","19-Feb-2015","        393.25","        392.95","        393.70","        383.60","        390.00","        389.25","        387.75","    4653457","      18043.56","      52487","    2726325","         58.59"
"ITC","EQ","20-Feb-2015","        389.25","        387.50","        397.90","        384.35","        397.85","        396.05","        392.74","    5954272","      23385.04","      55530","    3408707","         57.25"
"ITC","EQ","23-Feb-2015","        396.05","        395.00","        398.80","        389.25","        390.75","        390.25","        393.72","    3901485","      15361.00","      45739","    2187318","         56.06"
"ITC","EQ","24-Feb-2015","        390.25","        392.00","        398.00","        388.65","        395.10","        395.70","        395.59","    5492521","      21728.07","      73469","    3576970","         65.12"
"ITC","EQ","25-Feb-2015","        395.70","        397.60","        400.00","        393.45","        399.50","        399.70","        397.01","   10501201","      41691.29","     118167","    7896392","         75.20"
"ITC","EQ","26-Feb-2015","        399.70","        397.90","        401.40","        391.95","        392.30","        395.65","        396.54","    7801698","      30936.98","      83509","    5369906","         68.83"
"ITC","EQ","27-Feb-2015","        395.65","        394.80","        396.65","        384.05","        393.00","        393.70","        389.12","   22944759","      89283.77","     105677","   14217560","         61.96"
"ITC","EQ","28-Feb-2015","        393.70","        393.15","        409.95","        348.50","        361.30","        361.35","        368.90","   51940134","     191606.97","     293415","   25771040","         49.62"
"ITC","EQ","02-Mar-2015","        361.35","        358.00","        358.00","        342.00","        343.15","        343.25","        348.17","   33815118","     117733.10","     252513","   24561055","         72.63"
"ITC","EQ","03-Mar-2015","        343.25","        343.50","        345.50","        339.00","        341.15","        341.55","        341.27","   29996013","     102366.18","     235116","   19479116","         64.94"
"ITC","EQ","04-Mar-2015","        341.55","        345.00","        350.80","        342.90","        345.10","        344.25","        347.18","   21447975","      74463.89","     198364","   11970440","         55.81"
"ITC","EQ","05-Mar-2015","        344.25","        347.00","        349.10","        341.70","        346.95","        346.25","        345.99","   13666265","      47283.39","      99253","    8725116","         63.84"
"ITC","EQ","09-Mar-2015","        346.25","        343.70","        344.90","        337.25","        337.40","        338.35","        341.02","   10867944","      37061.58","     109262","    7643238","         70.33"
"ITC","EQ","10-Mar-2015","        338.35","        340.00","        342.70","        335.10","        338.55","        338.55","        338.89","    8691256","      29453.57","     120381","    4416086","         50.81"
"ITC","EQ","11-Mar-2015","        338.55","        340.35","        340.70","        337.55","        338.50","        338.20","        339.12","    8468469","      28718.03","      93489","    6091616","         71.93"
"ITC","EQ","12-Mar-2015","        338.20","        339.05","        348.25","        338.80","        346.40","        346.65","        345.42","   18215419","      62920.10","     138496","   12370611","         67.91"
"ITC","EQ","13-Mar-2015","        346.65","        348.30","        350.00","        336.70","        339.60","        339.40","        342.26","   10434348","      35712.80","     134550","    6559554","         62.87"
"ITC","EQ","16-Mar-2015","        339.40","        341.00","        341.60","        335.00","        335.40","        335.40","        337.16","    5730165","      19319.62","      87871","    3651972","         63.73"
"ITC","EQ","17-Mar-2015","        335.40","        339.50","        340.65","        336.25","        340.50","        340.00","        338.61","    7293674","      24697.02","      76825","    4718885","         64.70"
"ITC","EQ","18-Mar-2015","        340.00","        341.25","        341.25","        336.00","        336.50","        336.65","        338.11","    5838059","      19739.13","      69300","    3670129","         62.87"
"ITC","EQ","19-Mar-2015","        336.65","        338.50","        340.85","        331.50","        332.00","        333.35","        336.98","    6974900","      23503.81","      83519","    4718687","         67.65"
"ITC","EQ","20-Mar-2015","        333.35","        333.70","        333.70","        326.40","        328.00","        327.45","        329.00","    7048608","      23190.17","     107944","    4474086","         63.47"
"ITC","EQ","23-Mar-2015","        327.45","        326.35","        329.80","        325.00","        327.00","        327.40","        326.93","    7595698","      24832.39","      84845","    5676677","         74.74"
"ITC","EQ","24-Mar-2015","        327.40","        327.10","        329.80","        326.00","        326.50","        326.55","        327.61","    7143657","      23403.47","      92840","    4937802","         69.12"
"ITC","EQ","25-Mar-2015","        326.55","        328.65","        328.65","        326.00","        326.50","        326.75","        327.24","    4833171","      15816.28","      75150","    3470593","         71.81"
"ITC","EQ","26-Mar-2015","        326.75","        326.00","        328.95","        320.60","        323.50","        322.40","        325.17","   16128731","      52446.41","     109152","   12884457","         79.89"
"ITC","EQ","27-Mar-2015","        322.40","        324.00","        325.25","        315.10","        317.20","        317.50","        317.94","   14268835","      45367.00","     172949","   10095983","         70.76"
"ITC","EQ","30-Mar-2015","        317.50","        319.65","        329.50","        319.65","        326.85","        327.55","        325.60","   11011178","      35852.23","     185863","    7814256","         70.97"
"ITC","EQ","31-Mar-2015","        327.55","        328.80","        328.80","        324.00","        325.50","        325.85","        325.87","    8186377","      26676.78","      98832","    5881832","         71.85"
"ITC","EQ","01-Apr-2015","        325.85","        325.85","        333.00","        324.15","        331.75","        332.45","        329.60","    7226519","      23818.53","     128265","    5223855","         72.29"
"ITC","EQ","06-Apr-2015","        332.45","        329.35","        341.65","        329.10","        339.90","        341.00","        337.46","   12877285","      43456.11","     105017","   10112817","         78.53"
"ITC","EQ","07-Apr-2015","        341.00","        341.10","        343.00","        337.00","        342.60","        340.60","        339.51","    7033050","      23877.67","      85134","    5255292","         74.72"
"ITC","EQ","08-Apr-2015","        340.60","        342.00","        346.95","        341.50","        346.00","        346.25","        344.72","    8254426","      28454.72","     133548","    6553631","         79.40"
"ITC","EQ","09-Apr-2015","        346.25","        346.90","        348.95","        344.00","        346.85","        347.15","        346.11","    5111691","      17692.10","      39045","    3666772","         71.73"
"ITC","EQ","10-Apr-2015","        347.15","        347.00","        347.60","        342.25","        346.90","        346.65","        344.91","    3728914","      12861.54","      47344","    2347871","         62.96"
"ITC","EQ","13-Apr-2015","        346.65","        347.00","        352.40","        344.85","        351.00","        351.50","        349.79","    7261102","      25398.57","      87693","    5115417","         70.45"
"ITC","EQ","15-Apr-2015","        351.50","        354.00","        358.60","        351.40","        354.25","        354.95","        355.68","   11661496","      41477.10","     102907","    8667376","         74.32"
"ITC","EQ","16-Apr-2015","        354.95","        352.85","        356.40","        346.65","        349.45","        350.10","        351.14","    5243825","      18412.93","      56667","    3104298","         59.20"
"ITC","EQ","17-Apr-2015","        350.10","        350.50","        353.25","        347.70","        352.20","        351.85","        351.60","    5871559","      20644.34","      84665","    4073610","         69.38"
"ITC","EQ","20-Apr-2015","        351.85","        352.10","        352.10","        340.60","        341.45","        341.90","        345.57","    7517021","      25976.75","     119139","    5293630","         70.42"
"ITC","EQ","21-Apr-2015","        341.90","        341.85","        348.70","        341.00","        341.95","        341.95","        344.14","    7260219","      24985.10","     194032","    5413327","         74.56"
"ITC","EQ","22-Apr-2015","        341.95","        340.00","        345.00","        338.55","        342.35","        343.40","        341.93","    7179010","      24547.49","      95381","    5003643","         69.70"
"ITC","EQ","23-Apr-2015","        343.40","        343.40","        346.50","        338.30","        342.80","        342.10","        342.51","    5949753","      20378.67","      77587","    4032893","         67.78"
"ITC","BL","24-Apr-2015","        198.00","        343.80","        343.80","        343.80","        343.80","        343.80","        343.80","    1926000","       6621.59","          1","    1926000","        100.00"
"ITC","EQ","24-Apr-2015","        342.10","        342.00","        349.95","        341.15","        346.90","        347.95","        347.16","   11545879","      40082.42","      69548","    8368077","         72.48"
"ITC","EQ","27-Apr-2015","        347.95","        348.90","        351.80","        344.20","        344.55","        344.85","        348.16","    6247926","      21752.72","     101336","    4268063","         68.31"
"ITC","EQ","28-Apr-2015","        344.85","        344.90","        345.00","        333.60","        335.50","        337.55","        338.79","    7124405","      24136.88","      78959","    4955101","         69.55"
"ITC","EQ","29-Apr-2015","        337.55","        335.05","        336.00","        327.30","        327.40","        328.15","        330.41","    6727361","      22228.17","      64280","    4622902","         68.72"
"ITC","EQ","30-Apr-2015","        328.15","        327.80","        328.40","        321.20","        323.20","        322.35","        323.00","   13358444","      43147.72","      98571","    9899401","         74.11"
"ITC","EQ","04-May-2015","        322.35","        323.40","        330.90","        320.10","        330.20","        330.20","        327.90","    4806248","      15759.81","      44963","    3168812","         65.93"
"ITC","EQ","05-May-2015","        330.20","        328.60","        329.00","        323.60","        326.00","        326.25","        326.24","    8972029","      29270.47","      69645","    6074472","         67.70"
"ITC","EQ","06-May-2015","        326.25","        326.00","        327.85","        316.20","        316.70","        318.35","        319.71","   13474574","      43080.00","      97693","    9329857","         69.24"
"ITC","EQ","07-May-2015","        318.35","        318.50","        323.70","        315.60","        322.45","        322.55","        319.80","    7067920","      22602.88","      85834","    4208028","         59.54"
"ITC","EQ","08-May-2015","        322.55","        325.55","        329.30","        322.65","        328.00","        328.00","        326.87","    8104600","      26491.82","      81170","    5463389","         67.41"
"ITC","EQ","11-May-2015","        328.00","        330.00","        330.75","        324.40","        326.00","        326.45","        327.50","    5863983","      19204.31","      55237","    4036145","         68.83"
"ITC","EQ","12-May-2015","        326.45","        327.50","        328.00","        323.10","        323.75","        324.25","        324.96","    9530851","      30971.78","      75135","    6942221","         72.84"
"ITC","EQ","13-May-2015","        324.25","        326.85","        329.80","        321.00","        326.50","        327.85","        326.00","    7085304","      23097.86","      85070","    4096052","         57.81"
"ITC","EQ","14-May-2015","        327.85","        327.00","        327.00","        322.40","        324.30","        324.70","        324.83","    5358865","      17407.45","      53707","    2899462","         54.11"
"ITC","EQ","15-May-2015","        324.70","        325.10","        327.90","        324.85","        326.35","        326.40","        326.27","    3632794","      11852.85","      52243","    2311316","         63.62"
"ITC","EQ","18-May-2015","        326.40","        327.30","        333.90","        326.25","        332.00","        333.00","        330.37","    4606380","      15218.31","      44691","    2998134","         65.09"
