"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAINVEST","EQ","21-Jan-2015","        561.50","        558.25","        563.00","        555.50","        558.00","        557.95","        559.74","      17603","         98.53","        910","      12793","         72.68"
"TATAINVEST","EQ","22-Jan-2015","        557.95","        556.40","        583.50","        556.40","        574.00","        573.05","        574.58","     207696","       1193.39","       6498","      73753","         35.51"
"TATAINVEST","EQ","23-Jan-2015","        573.05","        581.55","        585.95","        575.00","        577.50","        578.75","        580.24","      70452","        408.79","       2662","      28449","         40.38"
"TATAINVEST","EQ","27-Jan-2015","        578.75","        579.00","        583.95","        573.00","        573.10","        575.30","        575.92","      15845","         91.26","        902","       9156","         57.78"
"TATAINVEST","EQ","28-Jan-2015","        575.30","        575.00","        575.45","        568.00","        570.00","        569.90","        571.13","      15054","         85.98","        827","       8815","         58.56"
"TATAINVEST","EQ","29-Jan-2015","        569.90","        569.00","        574.85","        562.30","        568.00","        567.80","        568.81","      24586","        139.85","       1389","      12383","         50.37"
"TATAINVEST","EQ","30-Jan-2015","        567.80","        569.30","        569.30","        557.00","        559.00","        558.65","        562.13","      23838","        134.00","       1180","      16055","         67.35"
"TATAINVEST","EQ","02-Feb-2015","        558.65","        558.00","        565.00","        557.00","        562.00","        562.20","        562.37","      10746","         60.43","        667","       6062","         56.41"
"TATAINVEST","EQ","03-Feb-2015","        562.20","        562.80","        568.95","        562.45","        565.00","        563.95","        565.76","      22225","        125.74","       1234","      10880","         48.95"
"TATAINVEST","EQ","04-Feb-2015","        563.95","        562.00","        566.75","        559.05","        563.20","        563.40","        562.77","      13798","         77.65","        729","       8138","         58.98"
"TATAINVEST","EQ","05-Feb-2015","        563.40","        563.95","        566.00","        560.05","        560.05","        562.45","        563.42","      13010","         73.30","        568","       9158","         70.39"
"TATAINVEST","EQ","06-Feb-2015","        562.45","        565.00","        565.00","        554.60","        559.30","        555.60","        558.11","      10368","         57.86","        596","       6698","         64.60"
"TATAINVEST","EQ","09-Feb-2015","        555.60","        557.85","        560.00","        551.85","        553.00","        553.25","        555.45","      16306","         90.57","        973","      11190","         68.63"
"TATAINVEST","EQ","10-Feb-2015","        553.25","        559.45","        559.45","        550.00","        553.50","        553.00","        553.99","      17622","         97.62","       1750","      11698","         66.38"
"TATAINVEST","EQ","11-Feb-2015","        553.00","        557.65","        559.90","        552.55","        557.10","        557.25","        556.96","      16521","         92.02","        910","       9808","         59.37"
"TATAINVEST","EQ","12-Feb-2015","        557.25","        555.70","        561.45","        554.95","        557.95","        557.30","        557.57","      13410","         74.77","        647","       9185","         68.49"
"TATAINVEST","EQ","13-Feb-2015","        557.30","        555.55","        574.00","        555.55","        560.50","        561.30","        564.80","      31350","        177.06","       1986","      10830","         34.55"
"TATAINVEST","EQ","16-Feb-2015","        561.30","        559.30","        582.00","        559.30","        570.00","        569.20","        570.12","      41692","        237.69","       2006","      16667","         39.98"
"TATAINVEST","EQ","18-Feb-2015","        569.20","        571.00","        571.40","        563.50","        565.50","        565.10","        565.79","      13747","         77.78","        849","       7011","         51.00"
"TATAINVEST","EQ","19-Feb-2015","        565.10","        565.00","        573.75","        563.05","        567.10","        568.20","        567.94","      21384","        121.45","       1535","       5977","         27.95"
"TATAINVEST","EQ","20-Feb-2015","        568.20","        569.55","        570.95","        561.05","        566.05","        566.90","        566.70","      23506","        133.21","       1201","      11241","         47.82"
"TATAINVEST","EQ","23-Feb-2015","        566.90","        569.00","        576.00","        561.00","        561.00","        563.50","        568.63","      14742","         83.83","        757","       8495","         57.62"
"TATAINVEST","EQ","24-Feb-2015","        563.50","        561.05","        565.85","        558.00","        558.95","        559.05","        559.76","      21654","        121.21","       1026","      12242","         56.53"
"TATAINVEST","EQ","25-Feb-2015","        559.05","        559.00","        561.90","        551.05","        555.00","        554.25","        555.77","      25316","        140.70","        954","      20279","         80.10"
"TATAINVEST","EQ","26-Feb-2015","        554.25","        555.85","        563.95","        554.00","        555.00","        555.90","        556.37","      15024","         83.59","       1627","       6692","         44.54"
"TATAINVEST","EQ","27-Feb-2015","        555.90","        554.05","        563.75","        554.00","        559.00","        559.35","        558.06","      15347","         85.65","       1165","       8052","         52.47"
"TATAINVEST","EQ","28-Feb-2015","        559.35","        561.00","        562.45","        551.00","        558.00","        555.95","        557.05","      15597","         86.88","        828","       8278","         53.07"
"TATAINVEST","EQ","02-Mar-2015","        555.95","        557.00","        571.00","        556.15","        564.00","        563.45","        563.81","      21792","        122.87","       1169","       8525","         39.12"
"TATAINVEST","EQ","03-Mar-2015","        563.45","        564.05","        652.30","        562.95","        625.50","        632.25","        626.08","     574202","       3594.98","      17177","     128133","         22.31"
"TATAINVEST","EQ","04-Mar-2015","        632.25","        629.00","        651.50","        600.00","        600.70","        605.20","        628.43","     353842","       2223.64","      12497","      90156","         25.48"
"TATAINVEST","EQ","05-Mar-2015","        605.20","        604.90","        624.90","        600.50","        609.50","        610.95","        615.69","     121059","        745.35","       4339","      29473","         24.35"
"TATAINVEST","EQ","09-Mar-2015","        610.95","        614.00","        646.40","        595.95","        617.50","        618.65","        627.41","     204191","       1281.12","       7990","      56011","         27.43"
"TATAINVEST","EQ","10-Mar-2015","        618.65","        617.50","        639.00","        605.00","        612.80","        615.00","        623.85","     102221","        637.71","       4067","      27869","         27.26"
