"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","21-Jan-2015","        559.20","        556.85","        558.45","        546.00","        550.45","        551.50","        551.80","    6452158","      35603.11","      96859","    3634084","         56.32"
"TATAMOTORS","EQ","22-Jan-2015","        551.50","        550.65","        568.70","        548.55","        566.10","        566.50","        562.29","    5946787","      33438.23","     107930","    2933534","         49.33"
"TATAMOTORS","EQ","23-Jan-2015","        566.50","        575.00","        591.15","        574.00","        586.10","        588.45","        582.50","    7682336","      44749.85","      92066","    3741521","         48.70"
"TATAMOTORS","EQ","27-Jan-2015","        588.45","        596.05","        607.70","        596.05","        606.00","        604.55","        601.15","    7136967","      42904.11","     196320","    4358018","         61.06"
"TATAMOTORS","EQ","28-Jan-2015","        604.55","        599.00","        599.20","        587.00","        588.05","        589.20","        592.08","    8209728","      48607.92","     104919","    5581451","         67.99"
"TATAMOTORS","EQ","29-Jan-2015","        589.20","        586.00","        600.70","        580.60","        597.00","        598.60","        594.14","    5812166","      34532.48","      85051","    3459558","         59.52"
"TATAMOTORS","EQ","30-Jan-2015","        598.60","        601.40","        604.70","        581.10","        586.40","        585.15","        588.21","    4136616","      24331.80","      86101","    2241651","         54.19"
"TATAMOTORS","EQ","02-Feb-2015","        585.15","        587.80","        595.90","        580.85","        592.25","        592.50","        587.98","    4316925","      25382.71","      88096","    2469607","         57.21"
"TATAMOTORS","EQ","03-Feb-2015","        592.50","        597.65","        612.40","        596.20","        598.15","        603.30","        604.73","    6035606","      36499.24","      96822","    2269020","         37.59"
"TATAMOTORS","EQ","04-Feb-2015","        603.30","        606.65","        606.65","        588.20","        592.00","        591.40","        594.17","    3362648","      19980.01","      47277","    1537929","         45.74"
"TATAMOTORS","EQ","05-Feb-2015","        591.40","        591.00","        602.90","        582.00","        587.60","        589.20","        593.51","    6774777","      40209.09","      89368","    2681732","         39.58"
"TATAMOTORS","EQ","06-Feb-2015","        589.20","        567.05","        572.00","        552.20","        559.95","        559.60","        559.06","   12091509","      67598.54","     138040","    6038555","         49.94"
"TATAMOTORS","EQ","09-Feb-2015","        559.60","        550.00","        554.45","        541.30","        542.80","        542.65","        548.07","    4579430","      25098.70","     103468","    2535079","         55.36"
"TATAMOTORS","EQ","10-Feb-2015","        542.65","        544.00","        568.00","        543.35","        563.70","        564.10","        556.33","    5557625","      30918.77","     152320","    2311994","         41.60"
"TATAMOTORS","EQ","11-Feb-2015","        564.10","        567.00","        571.40","        553.35","        560.15","        558.90","        558.41","    4588336","      25621.90","      48774","    2850580","         62.13"
"TATAMOTORS","EQ","12-Feb-2015","        558.90","        562.20","        566.00","        552.50","        563.15","        561.80","        559.76","    5430678","      30399.01","      85995","    3393208","         62.48"
"TATAMOTORS","EQ","13-Feb-2015","        561.80","        562.70","        567.20","        555.00","        565.20","        565.55","        561.80","    3469320","      19490.50","      52803","    1788964","         51.57"
"TATAMOTORS","EQ","16-Feb-2015","        565.55","        569.00","        580.45","        565.50","        574.00","        574.15","        575.40","    5732125","      32982.64","      86836","    3385742","         59.07"
"TATAMOTORS","EQ","18-Feb-2015","        574.15","        572.70","        587.00","        560.65","        583.10","        584.30","        578.82","    5784461","      33481.69","      82272","    2781154","         48.08"
