"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","21-Jan-2015","         82.10","         82.20","         83.65","         81.50","         83.15","         83.40","         82.40","    3908410","       3220.66","      16057","    2259462","         57.81"
"TATAPOWER","EQ","22-Jan-2015","         83.40","         83.50","         83.75","         82.65","         83.40","         83.30","         83.10","    1743113","       1448.58","       8659","     757048","         43.43"
"TATAPOWER","EQ","23-Jan-2015","         83.30","         83.90","         90.85","         82.80","         88.50","         88.85","         87.03","    7726076","       6724.23","      34986","    3072949","         39.77"
"TATAPOWER","EQ","27-Jan-2015","         88.85","         89.40","         91.20","         88.25","         88.80","         89.00","         89.59","    6022715","       5395.74","      25536","    1882684","         31.26"
"TATAPOWER","EQ","28-Jan-2015","         89.00","         89.00","         90.30","         87.50","         87.95","         88.00","         88.56","    4184638","       3705.78","      18389","    1922351","         45.94"
"TATAPOWER","EQ","29-Jan-2015","         88.00","         87.95","         88.80","         86.50","         87.85","         88.15","         87.85","    6091464","       5351.16","      25638","    3622962","         59.48"
"TATAPOWER","EQ","30-Jan-2015","         88.15","         88.35","         91.55","         87.80","         91.40","         90.50","         89.61","    4689840","       4202.57","      23510","    1794500","         38.26"
"TATAPOWER","EQ","02-Feb-2015","         90.50","         91.20","         92.45","         89.30","         90.85","         91.15","         91.12","    5228666","       4764.47","      31586","    1930418","         36.92"
"TATAPOWER","EQ","03-Feb-2015","         91.15","         91.45","         92.00","         86.90","         87.40","         87.35","         88.96","    3239110","       2881.43","      15085","    1028701","         31.76"
"TATAPOWER","EQ","04-Feb-2015","         87.35","         88.10","         92.00","         87.80","         90.00","         90.10","         89.92","    8146546","       7325.19","      29670","    1481178","         18.18"
"TATAPOWER","EQ","05-Feb-2015","         90.10","         91.00","         91.10","         82.35","         82.70","         83.30","         86.27","    8635942","       7450.03","      39143","    3185787","         36.89"
"TATAPOWER","EQ","06-Feb-2015","         83.30","         83.30","         84.45","         80.55","         82.25","         82.10","         82.50","    6246080","       5152.97","      37344","    2557785","         40.95"
"TATAPOWER","EQ","09-Feb-2015","         82.10","         80.50","         80.90","         78.45","         80.20","         80.05","         79.87","    6683197","       5337.87","      23370","    3549425","         53.11"
"TATAPOWER","EQ","10-Feb-2015","         80.05","         78.30","         82.20","         77.95","         81.40","         81.30","         80.19","    6072995","       4870.19","      28388","    1656460","         27.28"
"TATAPOWER","EQ","11-Feb-2015","         81.30","         81.80","         82.70","         81.50","         81.95","         82.15","         82.06","    1923495","       1578.46","      10309","     613040","         31.87"
"TATAPOWER","EQ","12-Feb-2015","         82.15","         82.10","         84.40","         81.80","         84.00","         83.90","         83.17","    2829265","       2352.99","      13442","     841266","         29.73"
"TATAPOWER","EQ","13-Feb-2015","         83.90","         84.50","         84.65","         83.15","         84.25","         84.40","         84.12","    2601904","       2188.78","      12615","     693490","         26.65"
"TATAPOWER","EQ","16-Feb-2015","         84.40","         84.30","         85.00","         83.40","         84.20","         84.10","         84.32","    1912876","       1612.97","       9012","     438354","         22.92"
"TATAPOWER","EQ","18-Feb-2015","         84.10","         84.40","         86.80","         84.00","         86.10","         86.25","         85.78","    2950082","       2530.71","      16728","     670401","         22.72"
"TATAPOWER","EQ","19-Feb-2015","         86.25","         86.70","         88.80","         83.50","         88.25","         88.30","         86.24","    3956381","       3411.83","      17083","     830457","         20.99"
"TATAPOWER","EQ","20-Feb-2015","         88.30","         88.30","         88.65","         85.45","         86.30","         85.95","         86.81","    3317379","       2879.72","      13863","    1172876","         35.36"
"TATAPOWER","EQ","23-Feb-2015","         85.95","         86.45","         87.80","         84.40","         84.55","         84.95","         86.12","    4082849","       3515.97","      18965","    1614624","         39.55"
"TATAPOWER","EQ","24-Feb-2015","         84.95","         85.25","         86.10","         83.25","         84.00","         84.45","         84.47","    4198879","       3546.90","      14924","    1597979","         38.06"
"TATAPOWER","EQ","25-Feb-2015","         84.45","         84.85","         85.70","         82.60","         82.70","         83.00","         84.12","    2045340","       1720.54","      10597","     725937","         35.49"
"TATAPOWER","EQ","26-Feb-2015","         83.00","         82.80","         83.65","         81.20","         82.85","         82.70","         82.69","    4020091","       3324.15","      17485","    1012135","         25.18"
"TATAPOWER","EQ","27-Feb-2015","         82.70","         84.60","         87.90","         84.50","         87.10","         87.30","         86.41","    7855296","       6787.95","      40530","    2702764","         34.41"
"TATAPOWER","EQ","28-Feb-2015","         87.30","         89.00","         89.20","         84.55","         86.40","         86.85","         87.16","    4884856","       4257.63","      23455","    1459237","         29.87"
"TATAPOWER","EQ","02-Mar-2015","         86.85","         86.50","         87.40","         85.10","         86.25","         86.25","         86.18","    3162250","       2725.10","      12486","    1047178","         33.11"
"TATAPOWER","EQ","03-Mar-2015","         86.25","         86.40","         87.80","         85.00","         87.30","         87.25","         86.76","    2803269","       2431.99","      14398","     792628","         28.28"
"TATAPOWER","EQ","04-Mar-2015","         87.25","         88.00","         88.30","         83.80","         84.50","         84.35","         85.84","    2752005","       2362.44","      16544","    1012732","         36.80"
"TATAPOWER","EQ","05-Mar-2015","         84.35","         84.35","         85.90","         84.00","         85.00","         85.30","         84.99","    2394050","       2034.67","      12992","     564832","         23.59"
"TATAPOWER","EQ","09-Mar-2015","         85.30","         84.55","         84.85","         82.00","         82.30","         82.25","         82.97","    2210809","       1834.37","      12792","    1038956","         46.99"
"TATAPOWER","EQ","10-Mar-2015","         82.25","         82.75","         83.20","         80.85","         81.20","         81.10","         81.99","    2361600","       1936.25","      14245","    1151415","         48.76"
"TATAPOWER","EQ","11-Mar-2015","         81.10","         81.80","         82.15","         80.55","         80.90","         80.85","         81.21","    3338126","       2710.76","      14883","    1895418","         56.78"
