"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","21-Jan-2015","        402.00","        405.00","        406.00","        393.50","        396.10","        397.10","        398.50","    3897727","      15532.59","      72569","    1328060","         34.07"
"TATASTEEL","EQ","22-Jan-2015","        397.10","        398.00","        404.70","        396.00","        403.40","        403.40","        400.37","    4527709","      18127.42","     109129","    1785985","         39.45"
"TATASTEEL","EQ","23-Jan-2015","        403.40","        410.00","        412.00","        399.00","        401.60","        403.10","        404.33","    4526581","      18302.21","      68407","    1208432","         26.70"
"TATASTEEL","EQ","27-Jan-2015","        403.10","        402.80","        404.00","        395.50","        398.00","        398.40","        398.92","    3972311","      15846.51","      95591","    1927390","         48.52"
"TATASTEEL","EQ","28-Jan-2015","        398.40","        397.00","        397.00","        388.90","        389.75","        391.15","        391.93","    3995448","      15659.17","      62476","    1475520","         36.93"
"TATASTEEL","EQ","29-Jan-2015","        391.15","        390.30","        392.40","        383.70","        390.00","        390.40","        388.54","    5162946","      20060.13","      69906","    2740429","         53.08"
"TATASTEEL","EQ","30-Jan-2015","        390.40","        392.50","        395.00","        386.50","        390.70","        390.45","        391.27","    3600813","      14088.98","      58070","    1361691","         37.82"
"TATASTEEL","EQ","02-Feb-2015","        390.45","        389.90","        394.80","        382.20","        383.80","        383.85","        388.45","    3179020","      12348.90","      48880","     930230","         29.26"
"TATASTEEL","EQ","03-Feb-2015","        383.85","        387.00","        387.45","        378.10","        380.55","        381.10","        382.70","    3443635","      13178.74","      60402","     993083","         28.84"
"TATASTEEL","EQ","04-Feb-2015","        381.10","        383.90","        393.40","        383.00","        387.75","        389.20","        388.82","    4420502","      17187.84","      56105","    1196467","         27.07"
"TATASTEEL","EQ","05-Feb-2015","        389.20","        391.70","        392.80","        378.05","        378.55","        379.25","        385.37","    3102143","      11954.86","      49533","     881855","         28.43"
"TATASTEEL","EQ","06-Feb-2015","        379.25","        380.00","        380.70","        367.00","        367.10","        368.65","        371.56","    4519435","      16792.61","      75971","    1298954","         28.74"
