TCS,ITC,TATAINVEST,TATA MOTORS,TATA POWER,TATA STEEL
-0.000621685,0.013905015,-0.025827561,-0.018655854,-0.008423586,-0.00467068
0.000785693,0.005467126,-0.009754584,-0.034695279,-0.045156842,-0.00979398
0.002030165,-0.012762488,0.007501042,-0.031023871,-0.028574618,0.013561616
-0.010698528,-0.013724077,0.008386882,0.015318876,0.011630533,0.017834817
-0.001011106,-0.018504408,0.004078691,-0.003467196,0.008081958,0.00872497
0.014805967,0.002728662,0.011883372,0.010081434,-0.019640665,-0.006977279
-0.002263457,0.0110072,-0.000426765,0.00039117,-0.016571554,0.007259622
-0.01404841,-0.005705352,-0.00599194,-0.027698312,0.024280576,0.015024824
0.005211884,-0.010046976,0.005313005,0.017772691,-0.010676157,-0.015739931
-0.013701415,-0.000434275,-0.001153669,0.001112028,0.04230903,0.008952435
-0.007861464,-0.010341678,0.009514253,0.061621293,0.04569697,0.037167618
0.01839381,0.009107666,0.00478891,0.020052183,0.032928509,0.051059376
0.023424742,-0.000325168,0.002635427,-0.014847303,-0.003990523,0.000991052
0.002000859,-0.004048146,-0.005332519,-0.003724862,-0.022788204,-0.022123771
0.0025908,0.006847454,-0.001094033,-0.002411748,-0.013346158,-0.00405383
-0.01830982,-0.018142042,-0.012800992,-0.003631185,-0.01129339,-0.014405306
-0.026577622,-0.029064346,-0.009331369,-0.023635732,-0.002371917,-0.009476631
-0.010771428,-0.025987788,0.007653016,-0.005908573,-0.017020284,0.010446137
-0.020834665,0.022153449,-0.003785611,-0.001827964,-0.005333952,-0.020281975
-0.004523753,-0.012705607,0.002188107,0.000586672,-0.006566064,-0.007669726
-0.010870008,-0.002489079,-0.003394123,0.003480339,0.008012076,0.017026198
-0.002742345,-0.004727116,0.015846077,0.021544176,0.019533562,0.028010507
0.005641833,-0.003576736,0.007179229,-0.008749167,0.004160723,0.01345103
0.01463106,0.001185252,-0.001078419,0.01099018,0.017293506,0.024194937
0.002821167,0.019068668,-0.003028348,-0.016063487,-0.043050573,-0.006812805
-0.007600858,0.054811602,0.001813123,-0.014557767,-0.008604865,-0.015657005
0.001182002,0.05953988,-0.011989855,-0.003169599,0.011371548,0.011810465
-0.030334675,0.020218595,-0.099460133,0.015572801,-0.006685108,-0.003789914
-0.005320227,-0.01702287,-0.003739478,-0.013373161,0.010717614,0.002921654
0.018223092,0.003439406,0.020692231,0.020282697,0.010001177,0.024319377
0.024878008,0.014573925,-0.01867997,0.006664903,0.024346149,0.014831633
0.00567461,0.006285225,0.0057065,0.002740453,0.011952677,0.014660124
0.003766823,-0.000678226,0.016820693,0.021713212,0.009604728,0.01694709
0.006191594,-0.018238666,0.00975971,-0.016888952,-0.00490136,-0.011786283
0.004628577,0.009232747,0.029970165,0.006722329,0.015176017,0.012142422
0.005763834,0.01512635,0.031202475,0.001020116,-0.001614506,0.009554825
